6	95909683	103249709	qD3	gneg	NA
6	103249709	108632396	qE1	gpos100	NA
6	108632396	109611066	qE2	gneg	NA
6	109611066	116951093	qE3	gpos100	NA
6	116951093	122823114	qF1	gneg	NA
6	122823114	125269790	qF2	gpos33	NA
6	125269790	132120481	qF3	gneg	NA
6	132120481	139460508	qG1	gpos66	NA
6	139460508	142885854	qG2	gneg	NA
6	142885854	149736546	qG3	gpos33	149736546
7	0	15202939	qA1	gpos100	NA
7	15202939	18243527	qA2	gneg	NA
7	18243527	28378821	qA3	gpos33	NA
7	28378821	34459997	qB1	gneg	NA
7	34459997	37500585	qB2	gpos33	NA
7	37500585	47635878	qB3	gneg	NA
7	47635878	54223819	qB4	gpos33	NA
7	54223819	60811759	qB5	gneg	NA
7	60811759	71453817	qC	gpos100	NA
7	71453817	77028229	qD1	gneg	NA
7	77028229	80575581	qD2	gpos66	NA
7	80575581	90204110	qD3	gneg	NA
7	90204110	99832639	qE1	gpos100	NA
7	99832639	102366462	qE2	gneg	NA
7	102366462	111488226	qE3	gpos33	NA
7	111488226	118582931	qF1	gneg	NA
7	118582931	123143813	qF2	gpos33	NA
7	123143813	137333224	qF3	gneg	NA
7	137333224	140880577	qF4	gpos33	NA
7	140880577	145441459	qF5	gneg	145441459
8	0	15940729	qA1.1	gpos100	NA
8	15940729	16878419	qA1.2	gneg	NA
8	16878419	20160333	qA1.3	gpos33	NA
8	20160333	29537233	qA2	gneg	NA
8	29537233	33756838	qA3	gpos33	NA
8	33756838	44071427	qA4	gneg	NA
8	44071427	48291032	qB1.1	gpos66	NA
8	48291032	50166412	qB1.2	gneg	NA
8	50166412	55792551	qB1.3	gpos66	NA
8	55792551	59543311	qB2	gneg	NA
8	59543311	67044831	qB3.1	gpos100	NA
8	67044831	67982521	qB3.2	gneg	NA
8	67982521	74546350	qB3.3	gpos100	NA
8	74546350	80172490	qC1	gneg	NA
8	80172490	84860940	qC2	gpos33	NA
8	84860940	90018235	qC3	gneg	NA
8	90018235	91424770	qC4	gpos33	NA
8	91424770	95644374	qC5	gneg	NA
8	95644374	103145894	qD1	gpos100	NA
8	103145894	104083584	qD2	gneg	NA
8	104083584	110647414	qD3	gpos33	NA
8	110647414	123775073	qE1	gneg	NA
8	123775073	129401213	qE2	gpos33	129401213
9	0	14412120	qA1	gpos100	NA
9	14412120	19526099	qA2	gneg	NA
9	19526099	24175170	qA3	gpos33	NA
9	24175170	38122384	qA4	gneg	NA
9	38122384	44166177	qA5.1	gpos66	NA
9	44166177	46490712	qA5.2	gneg	NA
9	46490712	54859040	qA5.3	gpos66	NA
9	54859040	63227369	qB	gneg	NA
9	63227369	69736069	qC	gpos33	NA
9	69736069	77639490	qD	gneg	NA
9	77639490	82753468	qE1	gpos33	NA
9	82753468	84613097	qE2	gneg	NA
9	84613097	91121796	qE3.1	gpos100	NA
9	91121796	91586703	qE3.2	gneg	NA
9	91586703	100884846	qE3.3	gpos100	NA
9	100884846	101814660	qE4	gpos66	NA
9	101814660	108323360	qF1	gneg	NA
9	108323360	111112803	qF2	gpos33	NA
9	111112803	119946038	qF3	gneg	NA
9	119946038	124595110	qF4	gpos33	124595110
X	0	15772338	qA1.1	gpos100	NA
X	15772338	18236766	qA1.2	gneg	NA
X	18236766	21194080	qA1.3	gpos33	NA
X	21194080	28094478	qA2	gneg	NA
X	28094478	33516219	qA3.1	gpos66	NA
X	33516219	34501991	qA3.2	gneg	NA
X	34501991	39923732	qA3.3	gpos66	NA
X	39923732	47809902	qA4	gneg	NA
X	47809902	56188957	qA5	gpos66	NA
X	56188957	63089355	qA6	gneg	NA
X	63089355	69496867	qA7.1	gpos66	NA
X	69496867	70975524	qA7.2	gneg	NA
X	70975524	77383037	qA7.3	gpos66	NA
X	77383037	82311893	qB	gneg	NA
X	82311893	91183833	qC1	gpos100	NA
X	91183833	92169604	qC2	gneg	NA
X	92169604	101041545	qC3	gpos100	NA
X	101041545	109913486	qD	gneg	NA
X	109913486	120264083	qE1	gpos100	NA
X	120264083	121249854	qE2	gneg	NA
X	121249854	135050651	qE3	gpos100	NA
X	135050651	141458163	qF1	gneg	NA
X	141458163	148851447	qF2	gpos33	NA
X	148851447	156244731	qF3	gneg	NA
X	156244731	163638015	qF4	gpos33	NA
X	163638015	171031299	qF5	gneg	171031299
Y	0	20642557	qA1	gpos100	NA
Y	20642557	32684048	qA2	gpos66	NA
Y	32684048	45298944	qB	gpos33	NA
Y	45298944	54473414	qC1	gpos100	NA
Y	54473414	61927671	qC2	gpos33	NA
Y	61927671	72248949	qC3	gpos100	NA
Y	72248949	83143632	qD	gpos33	NA
Y	83143632	91744698	qE	gpos66	91744698
M	0	16299	M	NA	16299
